VariableCode,RegionCode,YearCode,AggValue
xr,BFA,2000,711.97627443083300000
pl_da,BFA,2000,0.19879889488220200
pl_gdpo,BFA,2000,0.18129935860633900
xr,BFA,2001,733.03850707000000000
pl_da,BFA,2001,0.20067527890205400
pl_gdpo,BFA,2001,0.18795423209667200
xr,BFA,2002,696.98820361166700000
pl_da,BFA,2002,0.21576948463916800
pl_gdpo,BFA,2002,0.20287843048572500
xr,BFA,2003,581.20031386416700000
pl_da,BFA,2003,0.26295331120491000
pl_gdpo,BFA,2003,0.25323569774627700
xr,BFA,2004,528.28480930500000000
pl_da,BFA,2004,0.28801462054252600
pl_gdpo,BFA,2004,0.27571409940719600
xr,BFA,2005,527.46814284000000000
pl_da,BFA,2005,0.29765769839286800
pl_gdpo,BFA,2005,0.28376519680023200
xr,BFA,2006,522.89010961083300000
pl_da,BFA,2006,0.30887782573700000
pl_gdpo,BFA,2006,0.29089659452438400
xr,BFA,2007,479.26678258750000000
pl_da,BFA,2007,0.35494446754455600
pl_gdpo,BFA,2007,0.33751815557479900
xr,BFA,2008,447.80525556077300000
pl_da,BFA,2008,0.42137068510055500
pl_gdpo,BFA,2008,0.40721079707145700
xr,BFA,2009,472.18629075489300000
pl_da,BFA,2009,0.41383728384971600
pl_gdpo,BFA,2009,0.40648484230041500
xr,BFA,2010,495.27702157239600000
pl_da,BFA,2010,0.40201529860496500
pl_gdpo,BFA,2010,0.39955788850784300
xr,BFA,2011,471.86611409170000000
pl_da,BFA,2011,0.44367983937263500
pl_gdpo,BFA,2011,0.45634356141090400
xr,BFA,2012,510.52713590197000000
pl_da,BFA,2012,0.43998980522155800
pl_gdpo,BFA,2012,0.43907803297042800
xr,BFA,2013,494.04003744699000000
pl_da,BFA,2013,0.45598220825195300
pl_gdpo,BFA,2013,0.44842422008514400
xr,BFA,2014,494.41495286493700000
pl_da,BFA,2014,0.46287235617637600
pl_gdpo,BFA,2014,0.46820744872093200
xr,BFA,2015,591.65935115166700000
pl_da,BFA,2015,0.38381499052047700
pl_gdpo,BFA,2015,0.38229694962501500
xr,BFA,2016,592.60561506302200000
pl_da,BFA,2016,0.37406790256500200
pl_gdpo,BFA,2016,0.37413355708122300
xr,BFA,2017,580.65674958785800000
pl_da,BFA,2017,0.38046067953109700
pl_gdpo,BFA,2017,0.38289648294448900
xr,BFA,2018,555.44645839822600000
pl_da,BFA,2018,0.39640477299690200
pl_gdpo,BFA,2018,0.39518740773201000
xr,BFA,2019,585.91101318036900000
pl_da,BFA,2019,0.36744332313537600
pl_gdpo,BFA,2019,0.37035176157951400
xr,BWA,2000,5.10181583333333000
pl_da,BWA,2000,0.30261468887329100
pl_gdpo,BWA,2000,0.32201167941093400
xr,BWA,2001,5.84115892500000000
pl_da,BWA,2001,0.28847974538803100
pl_gdpo,BWA,2001,0.30522921681404100
xr,BWA,2002,6.32780068833333000
pl_da,BWA,2002,0.27244850993156400
pl_gdpo,BWA,2002,0.25496715307235700
xr,BWA,2003,4.94992860833333000
pl_da,BWA,2003,0.36167362332344100
pl_gdpo,BWA,2003,0.35890442132949800
xr,BWA,2004,4.69288739033333000
pl_da,BWA,2004,0.39980033040046700
pl_gdpo,BWA,2004,0.40824300050735500
xr,BWA,2005,5.11035443466667000
pl_da,BWA,2005,0.38072875142097500
pl_gdpo,BWA,2005,0.39837312698364300
xr,BWA,2006,5.83657119291667000
pl_da,BWA,2006,0.36440309882164000
pl_gdpo,BWA,2006,0.38917937874794000
xr,BWA,2007,6.13881920536636000
pl_da,BWA,2007,0.38318195939064000
pl_gdpo,BWA,2007,0.40624478459358200
xr,BWA,2008,6.82685666666667000
pl_da,BWA,2008,0.39232680201530500
pl_gdpo,BWA,2008,0.40413770079612700
xr,BWA,2009,7.15513769599502000
pl_da,BWA,2009,0.39912408590316800
pl_gdpo,BWA,2009,0.40439522266387900
xr,BWA,2010,6.79362115597508000
pl_da,BWA,2010,0.43856599926948500
pl_gdpo,BWA,2010,0.45518335700035100
xr,BWA,2011,6.83823583333333000
pl_da,BWA,2011,0.47712013125419600
pl_gdpo,BWA,2011,0.49524724483490000
xr,BWA,2012,7.61914166666667000
pl_da,BWA,2012,0.47857975959777800
pl_gdpo,BWA,2012,0.49308404326438900
xr,BWA,2013,8.39890833333333000
pl_da,BWA,2013,0.46788910031318700
pl_gdpo,BWA,2013,0.50216472148895300
xr,BWA,2014,8.97608333333334000
pl_da,BWA,2014,0.46199297904968300
pl_gdpo,BWA,2014,0.49663209915161100
xr,BWA,2015,10.12900238541960000
pl_da,BWA,2015,0.43343579769134500
pl_gdpo,BWA,2015,0.45258793234825100
xr,BWA,2016,10.90115453729460000
pl_da,BWA,2016,0.42545530200004600
pl_gdpo,BWA,2016,0.46505692601203900
xr,BWA,2017,10.34742087715970000
pl_da,BWA,2017,0.47098290920257600
pl_gdpo,BWA,2017,0.48699796199798600
xr,BWA,2018,10.19997500000000000
pl_da,BWA,2018,0.48989006876945500
pl_gdpo,BWA,2018,0.51230168342590300
xr,BWA,2019,10.75586666666670000
pl_da,BWA,2019,0.46771821379661600
pl_gdpo,BWA,2019,0.48143535852432300
xr,CAF,2000,711.97627443083300000
pl_da,CAF,2000,0.26082518696785000
pl_gdpo,CAF,2000,0.26159137487411500
xr,CAF,2001,733.03850707000000000
pl_da,CAF,2001,0.26077380776405300
pl_gdpo,CAF,2001,0.26191756129264800
xr,CAF,2002,696.98820361166700000
xr,BDI,2000,720.67333333333300000
pl_da,BDI,2000,0.17229479551315300
pl_gdpo,BDI,2000,0.15789301693439500
xr,BDI,2001,830.35333333333300000
pl_da,BDI,2001,0.15947334468364700
pl_gdpo,BDI,2001,0.14491933584213300
xr,BDI,2002,930.74916666666700000
pl_da,BDI,2002,0.14651040732860600
pl_gdpo,BDI,2002,0.13061723113060000
xr,BDI,2003,1082.62000000000000000
pl_da,BDI,2003,0.13368226587772400
pl_gdpo,BDI,2003,0.11718349903821900
xr,BDI,2004,1100.90000000000000000
pl_da,BDI,2004,0.14316147565841700
pl_gdpo,BDI,2004,0.12660217285156300
xr,BDI,2005,1081.57716666667000000
pl_da,BDI,2005,0.23342925310134900
pl_gdpo,BDI,2005,0.20807097852230100
xr,BDI,2006,1028.68355300000000000
pl_da,BDI,2006,0.25897371768951400
pl_gdpo,BDI,2006,0.22758956253528600
xr,BDI,2007,1081.86968250000000000
pl_da,BDI,2007,0.26725667715072600
pl_gdpo,BDI,2007,0.23640891909599300
xr,BDI,2008,1185.69083333333000000
pl_da,BDI,2008,0.29597350955009500
pl_gdpo,BDI,2008,0.26528364419937100
xr,BDI,2009,1230.17916666667000000
pl_da,BDI,2009,0.31420728564262400
pl_gdpo,BDI,2009,0.28766888380050700
xr,BDI,2010,1230.74833333333000000
pl_da,BDI,2010,0.33174726366996800
pl_gdpo,BDI,2010,0.30997294187545800
xr,BDI,2011,1261.07333333333000000
pl_da,BDI,2011,0.34633317589759800
pl_gdpo,BDI,2011,0.31118920445442200
xr,BDI,2012,1442.50562500000000000
pl_da,BDI,2012,0.34532508254051200
pl_gdpo,BDI,2012,0.31628152728080700
xr,BDI,2013,1555.09083333333000000
pl_da,BDI,2013,0.33894282579422000
pl_gdpo,BDI,2013,0.30001947283744800
xr,BDI,2014,1546.68666666667000000
pl_da,BDI,2014,0.35004395246505700
pl_gdpo,BDI,2014,0.31489601731300400
xr,BDI,2015,1571.89833333333000000
pl_da,BDI,2015,0.35468810796737700
pl_gdpo,BDI,2015,0.32661345601081800
xr,BDI,2016,1654.62666666667000000
pl_da,BDI,2016,0.35091841220855700
pl_gdpo,BDI,2016,0.32583081722259500
xr,BDI,2017,1729.05500000000000000
pl_da,BDI,2017,0.37847205996513400
pl_gdpo,BDI,2017,0.35962027311325100
xr,BDI,2018,1782.87687500000000000
pl_da,BDI,2018,0.36131098866462700
pl_gdpo,BDI,2018,0.34037160873413100
xr,BDI,2019,1845.62289069697000000
pl_da,BDI,2019,0.34666892886161800
pl_gdpo,BDI,2019,0.32754141092300400
xr,CIV,2000,711.97627443083300000
pl_da,CIV,2000,0.27010208368301400
pl_gdpo,CIV,2000,0.28015768527984600
xr,CIV,2001,733.03850707000000000
pl_da,CIV,2001,0.27951240539550800
pl_gdpo,CIV,2001,0.29248479008674600
xr,CIV,2002,696.98820361166700000
pl_da,CIV,2002,0.30465453863143900
pl_gdpo,CIV,2002,0.32689779996871900
xr,CIV,2003,581.20031386416700000
pl_da,CIV,2003,0.34983468055725100
pl_gdpo,CIV,2003,0.36653900146484400
xr,CIV,2004,528.28480930500000000
